epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.164,1.24515,3.47219,0.0012,0.01724,0.24295,0.12277,0.08519,0.93561,3.68795,0.00171,0.000411111,0.000411111,0.000411111
2,461.784,1.15362,2.59068,0.00114,0.88265,0.15614,0.16979,0.12462,0.95475,2.58211,0.00182,0.000819583,0.000819583,0.000819583
3,684.655,1.0939,2.39761,0.00109,0.88953,0.17716,0.2046,0.14898,0.9169,2.33668,0.00165,0.0012198,0.0012198,0.0012198
4,913.541,1.11327,2.14813,0.00109,0.45642,0.25423,0.25434,0.18076,0.94707,2.15714,0.00178,0.00121287,0.00121287,0.00121287
5,1139.62,1.15563,1.96466,0.00112,0.45633,0.37113,0.30039,0.21448,0.9575,1.97314,0.00189,0.0012005,0.0012005,0.0012005
6,1367.15,1.12251,1.82761,0.00107,0.45882,0.38373,0.38324,0.26899,0.898,1.77502,0.00167,0.00118812,0.00118812,0.00118812
7,1590.53,1.0924,1.66801,0.00107,0.43351,0.46064,0.41186,0.29388,0.92015,1.68218,0.00175,0.00117575,0.00117575,0.00117575
8,1814.8,1.09262,1.58255,0.00108,0.47872,0.4999,0.48397,0.33606,0.89694,1.54108,0.00158,0.00116337,0.00116337,0.00116337
9,2040.8,1.05343,1.44622,0.00098,0.49225,0.59197,0.54011,0.39203,0.87523,1.40931,0.00158,0.001151,0.001151,0.001151
10,2264.85,1.04818,1.3583,0.00097,0.5622,0.55768,0.59274,0.43214,0.89366,1.30709,0.00166,0.00113863,0.00113863,0.00113863
11,2487.74,1.05963,1.27201,0.00104,0.64462,0.60488,0.63479,0.44951,0.90261,1.23688,0.00169,0.00112625,0.00112625,0.00112625
12,2712.16,1.04188,1.19072,0.00097,0.65632,0.62252,0.64355,0.47294,0.87948,1.17217,0.00166,0.00111388,0.00111388,0.00111388
13,2938.02,1.00418,1.10859,0.00094,0.66295,0.63129,0.66797,0.48895,0.84354,1.09188,0.00151,0.0011015,0.0011015,0.0011015
14,3164.14,1.01702,1.06161,0.00099,0.71158,0.63786,0.68366,0.49644,0.85981,1.0223,0.00154,0.00108913,0.00108913,0.00108913
15,3389.08,1.00596,0.98287,0.00095,0.75544,0.64198,0.7046,0.51155,0.90038,0.96874,0.0016,0.00107675,0.00107675,0.00107675
16,3611.23,1.02435,0.96452,0.00099,0.73238,0.66559,0.71834,0.51336,0.91824,0.94017,0.00162,0.00106437,0.00106437,0.00106437
17,3837.33,0.99242,0.91911,0.00094,0.74224,0.68831,0.73103,0.51708,0.87587,0.90666,0.00163,0.001052,0.001052,0.001052
