epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.594,1.21568,3.45199,0.0012,0.88516,0.14022,0.14106,0.0945,0.98985,3.35372,0.00192,0.000412234,0.000412234,0.000412234
2,459.709,1.16256,2.58844,0.00114,0.8787,0.16769,0.16563,0.12174,0.91175,2.65783,0.00172,0.000820695,0.000820695,0.000820695
3,696.233,1.09657,2.37377,0.00105,0.6491,0.2041,0.2062,0.14747,0.97368,2.38045,0.00185,0.00122091,0.00122091,0.00122091
4,931.217,1.16258,2.24164,0.00116,0.64799,0.18935,0.24886,0.18124,0.92079,2.12188,0.00175,0.00121287,0.00121287,0.00121287
5,1195.98,1.15272,2.00009,0.00112,0.43417,0.37569,0.312,0.20902,0.97552,2.02479,0.00173,0.0012005,0.0012005,0.0012005
6,1500.13,1.09889,1.84481,0.00103,0.42651,0.39135,0.37397,0.26013,0.87758,1.8211,0.00159,0.00118812,0.00118812,0.00118812
7,1804.8,1.07877,1.68425,0.00104,0.47649,0.43971,0.42969,0.29562,0.89598,1.66234,0.00165,0.00117575,0.00117575,0.00117575
8,2374.76,1.04483,1.58843,0.00105,0.48467,0.48453,0.48655,0.3408,0.86991,1.54311,0.00157,0.00116337,0.00116337,0.00116337
9,2981.62,1.063,1.4672,0.00101,0.54131,0.52045,0.54286,0.3849,0.88553,1.40947,0.00161,0.001151,0.001151,0.001151
10,3588.1,1.07346,1.402,0.00105,0.60081,0.55657,0.60401,0.42964,0.88566,1.31304,0.00161,0.00113863,0.00113863,0.00113863
